Priority,Effort,Impact,Owner,Status,Task,Description,Sample Code/Implementation
P0,S,Critical,Dev,Not Started,Fix Hero Image LCP,Replace carousel with single optimized hero image for LCP improvement,"<Image src='/hero.webp' width={1600} height={900} priority fetchPriority='high' sizes='(max-width: 768px) 100vw, 1200px' quality={70} />"
P0,M,Critical,Dev,Not Started,Replace Google Fonts,Replace Google Fonts with next/font for performance,"import { Inter, Open_Sans } from 'next/font/google'; const inter = Inter({ subsets: ['latin'], display: 'swap' });"
P0,M,Critical,Dev,Not Started,Complete LocalBusiness Schema,Implement comprehensive LocalBusiness schema with @id, sameAs, areaServed,"@id: 'https://icemountn.com/#business', sameAs: ['https://maps.google.com'], areaServed: [{ '@type': 'Place', name: 'Los Angeles County' }]"
P1,M,High,Dev,Not Started,Defer Housecall Pro Script,Move HCP script to on-demand loading,"export function loadHousecallPro() { if (!window.HousecallPro) { const script = document.createElement('script'); script.src = 'HCP_URL'; document.head.appendChild(script); } }"
P1,M,High,Dev,Not Started,Fix CLS Issues,Implement fixed aspect ratio containers for all images,"<div className='relative w-full aspect-[3/2] min-h-[200px]'><Image fill sizes='(max-width: 768px) 50vw, 33vw' /></div>"
P1,S,High,Dev,Not Started,Add Missing Canonicals,Add canonical URLs to all service and location pages,"export const metadata = { alternates: { canonical: 'https://icemountn.com/services/standard-tv-mount' } }"
P1,S,High,Dev,Not Started,Optimize Title Tags,Implement consistent title templates for all pages,"title: 'Standard TV Mounting Los Angeles | $149+ | Ice Mount'n'"
P1,S,High,Dev,Not Started,Add Meta Descriptions,Add optimized meta descriptions to all pages,"description: 'Professional TV mounting in Los Angeles starting at $149. Same-day service, stud mounting, cable management.'"
P1,M,High,Dev,Not Started,Enhance City Pages,Add local keyword targeting and schema to city pages,"keywords: 'tv mounting pasadena, tv installation pasadena ca, samsung frame pasadena'"
P1,S,High,Dev,Not Started,Google Business Profile,Add GBP schema integration for local search,"aggregateRating: { '@type': 'AggregateRating', ratingValue: '4.9', reviewCount: '150' }"
P1,S,Medium,Dev,Not Started,Implement GA4 Tracking,Add Google Analytics 4 tracking code,"<Script src='https://www.googletagmanager.com/gtag/js?id=GA_MEASUREMENT_ID' strategy='afterInteractive' />"
P1,S,Medium,Dev,Not Started,Add Conversion Tracking,Track phone calls, bookings, and form submissions,"export function trackPhoneCall() { gtag('event', 'conversion', { send_to: 'AW-CONVERSION_ID' }); }"
P1,M,Medium,Dev,Not Started,Create Image Sitemap,Generate image sitemap for gallery optimization,"<image:image><image:loc>https://icemountn.com/images/stock/hero-1.webp</image:loc><image:title>Professional TV mounting service</image:title></image:image>"
P1,M,Medium,Dev,Not Started,Implement Cross-Linking,Add service-to-location cross-linking for hub-spoke architecture,"<Link href='/locations/ucla' className='text-blue-600 hover:underline'>UCLA Student Discount →</Link>"
P1,S,Medium,Dev,Not Started,Add Sticky Mobile CTA,Implement sticky mobile CTAs for better conversion,"<div className='fixed bottom-0 left-0 right-0 bg-white border-t shadow-lg z-50 md:hidden'><button className='flex-1 bg-blue-600 text-white py-3 px-4 rounded-lg'>Book Online</button></div>"
P2,L,Medium,Dev,Not Started,Build Topic Clusters,Create comprehensive content clusters around core services,"<Link href='/services/standard-tv-mount'>Standard Wall Mounts</Link><Link href='/services/over-fireplace-mount'>Over-Fireplace Mounts</Link>"
P2,L,Medium,Dev,Not Started,Enhance Service Pages,Add comprehensive content, FAQs, and pricing to service pages,"const contentSections = [{ title: 'Installation Process', content: 'Step-by-step guide...', steps: ['Assessment', 'Installation', 'Testing'] }];"
P2,S,Medium,Dev,Not Started,Add Trust Signals,Display licenses, insurance, and certifications,"<div className='grid grid-cols-2 md:grid-cols-4 gap-6'><div><div className='text-2xl'>📋</div><div className='font-semibold'>Licensed</div><div className='text-sm'>Contractor #123456</div></div></div>"
P2,M,Medium,Ops,Not Started,Submit to Business Directories,Submit to Google My Business, Yelp, Angie's List, BBB,"1. Create Google My Business profile 2. Submit to Yelp Business 3. List on Angie's List 4. Register with BBB"
P2,S,Low,Dev,Not Started,Monitor Unlinked Mentions,Set up mention monitoring for backlink opportunities,"export async function findUnlinkedMentions() { const searchQueries = ['\"Ice Mount'n\" -site:icemountn.com']; }"
P2,S,Low,Dev,Not Started,Optimize Button Colors,Increase color contrast for WCAG AA compliance,"className='bg-blue-600 hover:bg-blue-700 text-white' for buttons, 'text-slate-800' for body text"
P2,S,Low,Dev,Not Started,Ensure Tap Targets,Make all interactive elements meet 44x44px minimum,"className='px-4 py-3' for buttons to ensure minimum 44x44px tap target"
P2,S,Low,Dev,Not Started,Add Meaningful Alt Text,Ensure all images have descriptive alt attributes,"alt='Customer review from Beverly Hills - Over-Fireplace Mount service'"
P2,S,Low,Dev,Not Started,Update Sitemap Dates,Update lastmod dates in sitemap.xml,"<lastmod>2025-01-15</lastmod> for all pages with current dates"
P2,S,Low,Dev,Not Started,Add Missing Pages to Sitemap,Include same-day-tv-mounting, trust-and-support, privacy pages,"<url><loc>https://icemountn.com/same-day-tv-mounting</loc><lastmod>2025-01-15</lastmod><changefreq>weekly</changefreq><priority>0.9</priority></url>"
